Activity,Per,solar powered  water heater,gas water heater,electric water heater - peak hours,electric water heater - off peak hours,gas,natural gas,Jet Fuel,waste management,hybrid,electric - peak hours,electric - off peak hours
Household heating => 70F,hour ,,,,,,0.000436,,,,0.00065,0.000542
Household heating < 70F,hour ,,,,,,0.000872,,,,0.000923,0.000901
Use of heat pump,hour ,,,,,,0.001074,,,,0.001229,0.001188
Use of air conditioner ,hour ,,,,,,0.000598,,,,0.00798,0.000721
shower - short,activity,0.000012,0.000102,0.000232,0.000199,,,,,,,
shower - long (> 3 min),activity,0.000017,0.000149,0.000354,0.000312,,,,,,,
bath,activity,0.000088,0.000254,0.000412,0.000368,,,,,,,
wash-up,activity,0.000004,0.000042,0.000067,0.000055,,,,,,,
use of dishwasher,activity,0.000025,0.000165,0.000398,0.000311,,,,,,0.000084,0.000078
use of clothes washer,activity,0.000033,0.000199,0.000433,0.000382,,0.000154,,,,0.000102,0.000093
use of clothes dryer ,activity,,,,,,0.000187,,,,0.000132,0.000122
use of cooking range,activity,,,,,,0.000201,,,,0.000142,0.000135
use of  oven,activity,,,,,,0.000255,,,,0.000162,0.00015
use of self-clean feature of electric oven,activity,,,,,,,,,,0.000199,0.000178
Small kitchen applicance in the home,activity,,,,,,,,,,0.000054,0.000041
TV/computer use,hour ,,,,,,,,,,0.000002,0.000002
air travel - large plane,100 miles,,,,,,,0,,,,
air travel - small  plane (<50 seats) ,100 miles,,,,,,,0,,,,
car trips- self only,mile  ,,,,,0.000551,,,,0.000332,0.000192,0.000233
car trips - driver and self,mile  ,,,,,0.000554,,,,0.000337,0.000199,0.000245
car trips - 2+ people with multiple end points,mile  ,,,,,0.000354,,,,0.000123,0.000032,0.000055
trips using public ground transportation,mile  ,,,,,0.000276,,,,,,
bags of garbage disposed,per bag,,,,,,,,0.0419,,,
bags of recycling deposited (negative CF),per bag,,,,,,,,-0.0419,,,
bags of compost deposited (negative CF),per bag,,,,,,,,-0.0419,,,
hazardous or electric items disposed,per item,,,,,,,,0.0211,,,
large items disposed,per item,,,,,,,,0.0211,,,